lakeid,depth,hp_factor,vols
MO,0.25,0.0589,6596623.3
MO,1,0.109,12207673
MO,2,0.0978,10953306.6
MO,3,0.0899,10068530.3
MO,4,0.0839,9396548.3
MO,5,0.0786,8802964.2
MO,6,0.0737,8254178.9
MO,7,0.0688,7705393.6
MO,8,0.0637,7134208.9
MO,9,0.0586,6563024.2
MO,10,0.0526,5891042.2
MO,11,0.0446,4995066.2
MO,12,0.0371,4155088.7
MO,13,0.0301,3371109.7
MO,14,0.0216,2419135.2
MO,15,0.0137,1534358.9
MO,16,0.0081,907175.7
MO,17,0.0047,526385.9
MO,18,0.0027,302391.9
MO,19,0.0014,156795.8
MO,20,7.00E-04,78397.9
MO,21,3.00E-04,33599.1
MO,22,0.0053,593584.1
